Name,Study Type,Fault No,Initial pos seq iq (pu),Initial neg seq iq (pu),Initial V (pu),Last iq (pu),Last V (pu),Last Saturation Point Current (pu),Saturated,Grouped By,Delta iq pos seq (pu),Delta iq neg seq (pu),ABS(Delta neq2pos seq iq),Delta V (pu),Excluded By Voltage Range,Last pos seq iq (pu),Included By Voltage Range
DMAT-CRG_3219_POCSCRFaults_206_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.002672314260903588,,1.0148175035978722,,0.0011185811218605375,1.3064800674196715,True,,0.6716576801320057,,,-1.0136989224760116,,0.6743299943929093,True
DMAT-CRG_3219_POCSCRFaults_207_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.003277029626507075,,1.0148791111044302,,0.10957795331214513,1.3281343912883345,True,,0.7789596503516124,,,-0.905301157792285,,0.7822366799781195,True
DMAT-CRG_3219_POCSCRFaults_208_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.0020924969914814036,,1.0147515821343862,,0.2250650834363351,1.3461141665380165,True,,0.914229127243174,,,-0.7896864986980511,,0.9163216242346554,True
DMAT-CRG_3219_POCSCRFaults_209_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.0026383764940171345,,1.0148084817540333,,0.34581028985630247,1.3686039217999237,True,,1.182065600274257,,,-0.6689981918977308,,1.184703976768274,True
DMAT-CRG_3219_POCSCRFaults_210_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.00270847680628312,,1.014820644265216,,0.4622526681649667,1.388185500003846,True,,1.153664253606361,,,-0.5525679761002492,,1.156372730412644,True
DMAT-CRG_3219_POCSCRFaults_211_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.0027873789584670554,,1.01481960524667,,0.5713314663151255,1.2208772046963456,True,,0.9878193151810036,,,-0.4434881389315445,,0.9906066941394707,True
DMAT-CRG_3219_POCSCRFaults_212_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.0035914173458153702,,1.0148685352531244,,0.6751711266939056,1.7601196562291166,True,,1.0549824345833312,,,-0.3396974085592188,,1.0585738519291465,True
DMAT-CRG_3219_POCSCRFaults_213_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.002434380017782704,,1.0147445150992578,,0.7661545265155719,1.4617566187638291,True,,0.7838501888807986,,,-0.24858998858368586,,0.7862845688985813,True
DMAT-CRG_3219_POCSCRFaults_214_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.0019088193951801342,,1.0146763717666814,,0.8519285423381875,1.2088880892758507,True,,0.46560408841302603,,,-0.16274782942849386,,0.46751290780820615,False
DMAT-CRG_3219_POCSCRFaults_215_FL2261.54_X2R6.262478_P-1_Q0_V1.015,Faults,1,0.003543561343988112,,1.0148503398520283,,0.9395720130462751,1.0270365575033014,True,,0.2566737630925518,,,-0.07527832680575319,,0.2602173244365399,False
DMAT-CRG_3219_POCSCRFaults_216_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,0.0005241743134885861,,1.0149316599108467,,0.0011836059774134795,1.305157683781609,True,,1.1052708072966007,,,-1.0137480539334331,,1.1057949816100892,True
DMAT-CRG_3219_POCSCRFaults_217_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,0.0003252148321410059,,1.0149034977680165,,0.11284424347990347,1.3310580855704626,True,,1.0746599837669817,,,-0.902059254288113,,1.0749851985991228,True
DMAT-CRG_3219_POCSCRFaults_218_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,-0.0010352874658847676,,1.0148074307455173,,0.2329762949174126,1.3553870280950184,True,,1.2310315611288503,,,-0.7818311358281047,,1.2299962736629655,True
DMAT-CRG_3219_POCSCRFaults_219_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,0.00037776799936360423,,1.01490916412809,,0.3467209804401758,1.3746440701983929,True,,1.2754841357118425,,,-0.6681881836879142,,1.275861903711206,True
DMAT-CRG_3219_POCSCRFaults_220_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,0.0007899908079289293,,1.0149632492001004,,0.45968329950568043,1.3915548359861352,True,,1.197783560133382,,,-0.55527994969442,,1.198573550941311,True
DMAT-CRG_3219_POCSCRFaults_221_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,0.0009973019334990948,,1.0149907141854029,,0.5749320345340475,1.2420046755649239,True,,1.0556915868631092,,,-0.44005867965135537,,1.0566888887966082,True
DMAT-CRG_3219_POCSCRFaults_222_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,0.0006086651925925157,,1.014952115354689,,0.6883088993994231,1.3196213632460725,True,,1.1220979430466855,,,-0.3266432159552659,,1.122706608239278,True
DMAT-CRG_3219_POCSCRFaults_223_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,0.00048799347704079493,,1.0149336059616565,,0.7749366397886961,1.0156799211377328,True,,0.8132838241564061,,,-0.2399969661729604,,0.8137718176334469,True
DMAT-CRG_3219_POCSCRFaults_224_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,0.0005743922497684395,,1.0149511656476824,,0.8574291035228584,0.733255851974959,False,,0.47850314876526834,,,-0.157522062124824,,0.4790775410150368,False
DMAT-CRG_3219_POCSCRFaults_225_FL2261.54_X2R6.262478_P-0.5_Q0_V1.015,Faults,1,0.0006306962907387484,,1.0149387385976716,,0.9421051291687886,0.5633907543872412,False,,0.26390388167521783,,,-0.07283360942888295,,0.2645345779659566,False
DMAT-CRG_BalancedFaults_001_FL2261.54_X2R14_P-1_Q0_V1.015,Faults,1,3.190244462880452e-05,,1.0151651583140726,,0.0011030039323733246,1.3100314094564391,True,,0.6778720111036064,,,-1.0140621543816992,,0.6779039135482352,True
DMAT-CRG_BalancedFaults_002_FL2261.54_X2R14_P-1_Q-0.3_V1.015,Faults,1,-0.10711394807445064,,1.015145407009005,,0.0010868389587621108,1.3222231528390913,True,,0.5886998174786165,,,-1.0140585680502427,,0.48158586940416587,True
DMAT-CRG_BalancedFaults_003_FL2261.54_X2R14_P-1_Q0.3_V1.015,Faults,1,0.1067080209514407,,1.0152977382449628,,0.0010852916647410202,1.2909329212637717,True,,0.5357345169388998,,,-1.0142124465802218,,0.6424425378903406,True
DMAT-CRG_BalancedFaults_004_FL804_X2R14_P-1_Q0_V1.015,Faults,1,0.005723351999946325,,1.014626890313155,,0.0011185733119114583,1.3041439346642225,True,,0.4909557337204543,,,-1.0135083170012436,,0.49667908572040065,True
DMAT-CRG_BalancedFaults_005_FL804_X2R3_P-1_Q-0.3_V1.015,Faults,1,-0.10743459423442564,,1.014772293488883,,0.0010590852985058207,1.3103448831847182,True,,0.4189351184740491,,,-1.0137132081903772,,0.31150052423962343,True
DMAT-CRG_BalancedFaults_006_FL804_X2R3_P-1_Q0.3_V1.015,Faults,1,0.1073769343040798,,1.0148854545297956,,0.0010551849412929837,1.2890026551624785,True,,0.37714935483079365,,,-1.0138302695885026,,0.48452628913487344,True
DMAT-CRG_BalancedFaults_007_FL2261.54_X2R14_P-0.05_Q0_V1.015,Faults,1,0.0003013327806327167,,1.0150513723956,,0.001222570966978328,1.3024771679570892,True,,1.3034106741943803,,,-1.0138288014286216,,1.303712006975013,True
DMAT-CRG_BalancedFaults_008_FL2261.54_X2R14_P-0.05_Q-0.3_V1.015,Faults,1,-0.10519509963885518,,1.0149343520679026,,0.0012140656069873459,1.314282085144367,True,,1.3691421091606555,,,-1.0137202864609152,,1.2639470095218004,True
DMAT-CRG_BalancedFaults_009_FL2261.54_X2R14_P-0.05_Q0.3_V1.015,Faults,1,0.10573472300969297,,1.0151866110819858,,0.0012051203666494593,1.2845277920359028,True,,1.1786830521281302,,,-1.0139814907153364,,1.2844177751378232,True
DMAT-CRG_BalancedFaults_010_FL804_X2R14_P-0.05_Q0_V1.015,Faults,1,-0.0025777680888690166,,1.0147991293778988,,0.0014782236301893444,1.3018632869717008,True,,1.2935380569890824,,,-1.0133209057477095,,1.2909602889002134,True
DMAT-CRG_BalancedFaults_011_FL804_X2R3_P-0.05_Q-0.3_V1.015,Faults,1,-0.10763602881736714,,1.0147279167172896,,0.0014368045379093797,1.3172605079709592,True,,1.382383114836941,,,-1.0132911121793802,,1.2747470860195738,True
DMAT-CRG_BalancedFaults_012_FL804_X2R3_P-0.05_Q0.3_V1.015,Faults,1,0.10500259395845436,,1.0151017448326305,,0.001421015994792028,1.2884567646758673,True,,1.180261826613881,,,-1.0136807288378384,,1.2852644205723354,True
DMAT-CRG_BalancedFaults_013_FL2261.54_X2R14_P-1_Q0_V1.015,Faults,1,-0.001943263796089286,,1.0153037773965012,,0.5721567987280926,1.2199862196397917,True,,0.9925470283052874,,,-0.4431469786684087,,0.9906037645091981,True
DMAT-CRG_BalancedFaults_014_FL2261.54_X2R14_P-1_Q-0.3_V1.015,Faults,1,-0.10354737439853381,,1.015502072757072,,0.5763861767570376,1.2120286821825859,True,,1.0591059258292788,,,-0.4391158960000344,,0.955558551430745,True
DMAT-CRG_BalancedFaults_015_FL2261.54_X2R14_P-1_Q0.3_V1.015,Faults,1,0.10688483799146338,,1.0153365910205074,,0.5677050886909393,1.2274850257036265,True,,0.9174985486417094,,,-0.44763150232956816,,1.0243833866331729,True
DMAT-CRG_BalancedFaults_016_FL804_X2R14_P-1_Q0_V1.015,Faults,1,0.004705735981434674,,1.0143877093715366,,0.6510346554095836,1.8529208182872794,True,,1.1269417959816082,,,-0.36335305396195294,,1.1316475319630428,True
DMAT-CRG_BalancedFaults_017_FL804_X2R3_P-1_Q-0.3_V1.015,Faults,1,-0.10752087323943178,,1.0147198263246717,,0.6449756050282328,1.1129147362862226,True,,0.8253850865816842,,,-0.3697442212964389,,0.7178642133422524,True
DMAT-CRG_BalancedFaults_018_FL804_X2R3_P-1_Q0.3_V1.015,Faults,1,0.10755834704887282,,1.014935143697417,,0.632613793644561,1.0928599912494317,True,,0.6902138841484725,,,-0.38232135005285595,,0.7977722311973453,True
DMAT-CRG_BalancedFaults_019_FL2261.54_X2R14_P-0.05_Q0_V1.015,Faults,1,-0.00030166328894238144,,1.0150614463068497,,0.5797784865550419,1.1337926610101072,True,,1.065950564570921,,,-0.43528295975180775,,1.0656489012819788,True
DMAT-CRG_BalancedFaults_020_FL2261.54_X2R14_P-0.05_Q-0.3_V1.015,Faults,1,-0.10596295030096253,,1.014906715593289,,0.5820847444942792,1.0993572214763985,True,,1.1327219787349485,,,-0.4328219710990098,,1.026759028433986,True
DMAT-CRG_BalancedFaults_021_FL2261.54_X2R14_P-0.05_Q0.3_V1.015,Faults,1,0.10605427409629478,,1.0152286623124422,,0.5695615612779703,1.0899399262655758,True,,0.9704243329668812,,,-0.44566710103447194,,1.076478607063176,True
DMAT-CRG_BalancedFaults_022_FL804_X2R14_P-0.05_Q0_V1.015,Faults,1,-0.002581338038334751,,1.014976640893915,,0.7030660131467106,1.1022228198400565,True,,1.1018502954276093,,,-0.31191062774720435,,1.0992689573892744,True
DMAT-CRG_BalancedFaults_023_FL804_X2R3_P-0.05_Q-0.3_V1.015,Faults,1,-0.10764615669687741,,1.0148230010261645,,0.6961673490208172,1.0484068781456786,True,,1.1529962675967007,,,-0.3186556520053473,,1.0453501108998233,True
