Name,Step No,Vpoc (pu),Vref (pu),Verr (pu),Qpoc (MVAr)
DMAT-CRG_3210_VgridSteps_158p1_FL804_X2R14_P-0.05_Q0_V1.015,5,1.0152009184954753,1.015,0.00020091849547543283,-0.38255069187665475
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,1,1.0150505595186212,1.015,5.0559518621318134e-05,0.27832868507481867
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,2,1.0276065134956474,1.015,0.012606513495647453,-33.25600399673883
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,3,1.015061262978017,1.015,6.126297801700709e-05,0.2856587573220904
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,4,1.0022464708713748,1.015,-0.012753529128625152,33.059157533322306
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,5,1.0151205548941495,1.015,0.00012055489414963816,0.27015862734341034
DMAT-CRG_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P-1_Q0_V1.015,1,1.0152539550504147,1.015,0.00025395505041481137,-0.46699661817128274
DMAT-CRG_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P-1_Q0_V1.015,2,1.0388659638115814,1.015,0.02386596381158146,-63.31534625754771
DMAT-CRG_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P-1_Q0_V1.015,3,1.0152973117012702,1.015,0.0002973117012703419,-0.39377077717677883
DMAT-CRG_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P-1_Q0_V1.015,4,0.9917445172083059,1.015,-0.023255482791693982,60.90588287441969
DMAT-CRG_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P-1_Q0_V1.015,5,1.015318123918916,1.015,0.00031812391891605785,-0.34430556420399766
DMAT-CRG_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P-0.05_Q0_V1.015,1,1.015206327920888,1.015,0.00020632792088814966,-0.9278117637941062
DMAT-CRG_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P-0.05_Q0_V1.015,2,1.0377751265278425,1.015,0.022775126527842637,-60.121217369365326
DMAT-CRG_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P-0.05_Q0_V1.015,3,1.0153442451355197,1.015,0.00034424513551978286,-1.2034434379460592
DMAT-CRG_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P-0.05_Q0_V1.015,4,0.9940115650049917,1.015,-0.020988434995008243,56.92580522479499
DMAT-CRG_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P-0.05_Q0_V1.015,5,1.0153506933262164,1.015,0.0003506933262165113,-1.1686070414712184
DMAT_3210_VgridSteps_155p1_FL2680_X2R14_P1_Q0_V1.015,1,1.014920279825321,1.015,-7.972017467894332e-05,-0.1172955172843675
DMAT_3210_VgridSteps_155p1_FL2680_X2R14_P1_Q0_V1.015,2,1.0409655262384414,1.015,0.025965526238441505,-68.95090275701571
DMAT_3210_VgridSteps_155p1_FL2680_X2R14_P1_Q0_V1.015,3,1.0149609021716204,1.015,-3.9097828379519584e-05,-0.07119677036534094
DMAT_3210_VgridSteps_155p1_FL2680_X2R14_P1_Q0_V1.015,4,0.9894030683849827,1.015,-0.025596931615017193,67.27848443051994
DMAT_3210_VgridSteps_155p1_FL2680_X2R14_P1_Q0_V1.015,5,1.0149877093934327,1.015,-1.2290606567155749e-05,-0.010068691362483815
DMAT_3210_VgridSteps_155p2_FL2680_X2R3_P1_Q0_V1.015,1,1.0146593592293924,1.015,-0.0003406407706074699,0.7443150214454751
DMAT_3210_VgridSteps_155p2_FL2680_X2R3_P1_Q0_V1.015,2,1.0400463369742114,1.015,0.025046336974211547,-66.31000793925506
DMAT_3210_VgridSteps_155p2_FL2680_X2R3_P1_Q0_V1.015,3,1.014817313441119,1.015,-0.0001826865588809845,1.1497646383322002
DMAT_3210_VgridSteps_155p2_FL2680_X2R3_P1_Q0_V1.015,4,0.9898368790176054,1.015,-0.025163120982394482,66.40792283322405
DMAT_3210_VgridSteps_155p2_FL2680_X2R3_P1_Q0_V1.015,5,1.0146653638911367,1.015,-0.0003346361088631955,0.7809524572866853
DMAT_3210_VgridSteps_156p1_FL2680_X2R14_P0.05_Q0_V1.015,1,1.0146664006139916,1.015,-0.00033359938600829864,0.7308096900957539
DMAT_3210_VgridSteps_156p1_FL2680_X2R14_P0.05_Q0_V1.015,2,1.0406908996262791,1.015,0.02569089962627924,-67.90860962991006
DMAT_3210_VgridSteps_156p1_FL2680_X2R14_P0.05_Q0_V1.015,3,1.0145606854392861,1.015,-0.00043931456071377717,0.3149176990032707
DMAT_3210_VgridSteps_156p1_FL2680_X2R14_P0.05_Q0_V1.015,4,0.9891268610505721,1.015,-0.025873138949427776,67.94490748154551
DMAT_3210_VgridSteps_156p1_FL2680_X2R14_P0.05_Q0_V1.015,5,1.0146577425216712,1.015,-0.00034225747832872244,0.7372324208620984
DMAT_3210_VgridSteps_156p2_FL2680_X2R3_P0.05_Q0_V1.015,1,1.015247260128519,1.015,0.00024726012851905566,-0.7711782670809324
DMAT_3210_VgridSteps_156p2_FL2680_X2R3_P0.05_Q0_V1.015,2,1.0418268863305102,1.015,0.026826886330510336,-71.11656345508761
DMAT_3210_VgridSteps_156p2_FL2680_X2R3_P0.05_Q0_V1.015,3,1.0152009203648535,1.015,0.00020092036485364062,-0.8506835113594068
DMAT_3210_VgridSteps_156p2_FL2680_X2R3_P0.05_Q0_V1.015,4,0.9893614039869638,1.015,-0.025638596013036086,68.48054598144267
DMAT_3210_VgridSteps_156p2_FL2680_X2R3_P0.05_Q0_V1.015,5,1.0151546811776155,1.015,0.00015468117761563427,-0.8537901778402254
DMAT_3210_VgridSteps_157p1_FL804_X2R14_P1_Q0_V1.015,1,1.016108576778433,1.015,0.0011085767784331235,-2.2668577892428856
DMAT_3210_VgridSteps_157p1_FL804_X2R14_P1_Q0_V1.015,2,1.0290187316847024,1.015,0.014018731684702468,-36.85533124378096
DMAT_3210_VgridSteps_157p1_FL804_X2R14_P1_Q0_V1.015,3,1.0160659082196968,1.015,0.001065908219696876,-2.303179864749752
DMAT_3210_VgridSteps_157p1_FL804_X2R14_P1_Q0_V1.015,4,1.0031564525496626,1.015,-0.011843547450337333,31.754226176002465
