Name,Iq Settling Time (sec),Iq Rise Time (sec),Ppoc Recovery Time (sec),Enters FRT
CSR_5255_CSRBalancedFaults_039_FL3185_X2R11.24_P1_Q1_V1.06,0.056250000000112266,0.013750000000027462,0.14300000000028668,True
CSR_5255_CSRBalancedFaults_040_FL3185_X2R11.24_P0.05_Q0_V1.06,0.045000000000089635,0.012500000000025047,0.16250000000032472,True
CSR_5255_CSRBalancedFaults_041_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.03750000000007514,0.013750000000027462,0.15975000000032047,True
CSR_5255_CSRBalancedFaults_042_FL3185_X2R11.24_P0.05_Q1_V1.06,0.056250000000112266,0.012500000000025047,0.19875000000039833,True
CSR_5255_CSRBalancedFaults_043_FL3185_X2R11.24_P-1_Q0_V1.06,0.04625000000009205,0.01125000000002263,0.0,True
CSR_5255_CSRBalancedFaults_044_FL3185_X2R11.24_P-1_Q-1_V1.06,0.04125000000008239,0.012500000000025047,0.0,True
CSR_5255_CSRBalancedFaults_045_FL3185_X2R11.24_P-1_Q1_V1.06,0.0500000000000993,0.010000000000020215,0.0,True
CSR_5255_CSRBalancedFaults_046_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.04625000000009205,0.012500000000025047,0.0,True
CSR_5255_CSRBalancedFaults_047_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.04000000000007997,0.013750000000027462,0.0,True
CSR_5255_CSRBalancedFaults_048_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.056250000000112266,0.01125000000002263,0.0,True
CSR_5255_CSRBalancedFaults_049_FL5591_X2R12.04_P1_Q0_V1.06,0.03250000000006459,0.015000000000029878,0.1365000000002734,True
CSR_5255_CSRBalancedFaults_050_FL5591_X2R12.04_P1_Q-1_V1.06,0.033750000000067004,0.016250000000032294,0.1357500000002716,True
CSR_5255_CSRBalancedFaults_051_FL5591_X2R12.04_P1_Q1_V1.06,0.03125000000006217,0.013750000000027462,0.138000000000277,True
CSR_5255_CSRBalancedFaults_052_FL5591_X2R12.04_P0.05_Q0_V1.06,0.030000000000059757,0.013750000000027462,0.18275000000036634,True
CSR_5255_CSRBalancedFaults_053_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.03125000000006217,0.013750000000027462,0.1795000000003597,True
