Name,Step No.,Δf,ΔP,Saturated
Test 1,1,4.028738484862515e-05,-0.00061417066285685,True
Test 1,2,1.9998871043397557,-226.84599588096057,False
Test 1,3,-7.995839666108395e-05,-0.002689896788126589,True
Test 2,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 2,2,2.0000350623356127,-226.84225228511215,False
Test 2,3,2.1352730605883607e-05,-0.007669747755755907,False
Test 3,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 3,2,2.0000350623356127,-226.84225228511215,False
Test 3,3,2.1352730605883607e-05,-0.007669747755755907,False
Test 4,1,-1.5038487489960062e-05,-0.011140891779831463,False
Test 4,2,2.0000629405893164,-226.84308776917064,False
Test 4,3,-4.530054745544021e-05,-0.008454634845097786,False
Test 5,1,4.028738484862515e-05,-0.00061417066285685,True
Test 5,2,-2.9999267899998188,2.7545247621127373,True
Test 5,3,-3.518028440652188e-05,0.00014157467705899762,True
Test 6,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 6,2,-3.000049143403011,145.25576522897262,True
Test 6,3,5.2355428934447445e-06,-0.008197719102668088,False
Test 7,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 7,2,-3.000049143403011,145.25576522897262,True
Test 7,3,5.2355428934447445e-06,-0.008197719102668088,False
Test 8,1,-1.5038487489960062e-05,-0.011140891779831463,False
Test 8,2,-3.0000273662770027,273.5059356223716,True
Test 8,3,2.395155500778401e-05,-0.007042447911601357,False
Test 9,1,7.379019564268674e-07,-0.0036049674253035846,True
Test 9,2,2.0000002760015647,-226.84565489199207,False
Test 9,3,7.602966093145369e-06,-0.0037480017936672994,True
Test 10,1,1.0673700963081956e-05,-0.013527823437016195,False
Test 10,2,1.9999348429269972,-226.84937073210114,False
Test 10,3,1.4055625868536481e-05,-0.012143287130328417,False
Test 11,1,1.0673700963081956e-05,-0.013527823437016195,False
Test 11,2,1.9999348429269972,-226.84937073210114,False
Test 11,3,1.4055625868536481e-05,-0.012143287130328417,False
Test 12,1,6.556376277444542e-06,-0.011907795880949479,False
Test 12,2,1.999970242392358,-226.84135936398764,False
Test 12,3,-2.6671395545463383e-06,-0.009190377334078903,False
Test 13,1,7.379019564268674e-07,-0.0036049674253035846,True
Test 13,2,-2.9999634341757755,2.757566501770441,True
Test 13,3,1.7433685286505352e-06,-0.001799080525302088,True
Test 14,1,1.0673700963081956e-05,-0.013527823437016195,False
Test 14,2,-2.999960006996716,145.25527710654575,True
Test 14,3,-3.8088118046175623e-06,-0.012923920584228199,False
Test 15,1,1.0673700963081956e-05,-0.013527823437016195,False
Test 15,2,-2.999960006996716,145.25527710654575,True
Test 15,3,-3.8088118046175623e-06,-0.012923920584228199,False
Test 16,1,6.556376277444542e-06,-0.011907795880949479,False
Test 16,2,-2.999986693281066,273.50334571611074,True
Test 16,3,-1.364886016830269e-05,-0.007016059329954416,False
Test 17,1,3.0322530349735644e-05,-0.01823625631146797,True
Test 17,2,1.9998955441678277,-2.783531369243633,True
Test 17,3,3.455742496782932e-05,-0.0178807571373909,True
Test 18,1,-4.8011691852423155e-05,-0.008125645438184392,False
Test 18,2,1.999982581774269,-145.28293225891207,True
Test 18,3,1.1862229740700059e-05,-0.009274259719148858,False
Test 19,1,-4.8011691852423155e-05,-0.008125645438184392,False
Test 19,2,1.999982581774269,-145.28293225891207,True
Test 19,3,1.1862229740700059e-05,-0.009274259719148858,False
Test 20,1,-4.165549000134661e-05,-0.008582030442507715,False
Test 20,2,1.9999906617211707,-226.83914065096803,False
Test 20,3,-1.4092482800265316e-05,-0.005459383126316553,False
Test 21,1,3.0322530349735644e-05,-0.01823625631146797,True
Test 21,2,-2.999983247975088,283.52963657313944,False
Test 21,3,-1.0599236517805366e-05,-0.008938184862813614,True
Test 22,1,-4.8011691852423155e-05,-0.008125645438184392,False
Test 22,2,-3.0002009217319667,283.52966593784026,False
Test 22,3,7.959888983322116e-05,-0.004295788250658461,False
Test 23,1,-4.8011691852423155e-05,-0.008125645438184392,False
Test 23,2,-3.0002009217319667,283.52966593784026,False
Test 23,3,7.959888983322116e-05,-0.004295788250658461,False
Test 24,1,-4.165549000134661e-05,-0.008582030442507715,False
Test 24,2,-3.000088848182976,283.52375162464966,False
Test 24,3,6.0661450334009714e-05,-0.003620253423259001,False
Test 25,1,3.326679781423536e-06,-0.015628260893151946,True
Test 25,2,1.999938382985583,-2.7871496192481686,True
Test 25,3,2.24130869312944e-05,-0.013845564833786739,True
Test 26,1,2.688566783604074e-05,-0.01156724331622172,False
Test 26,2,2.0000075143098,-145.2839160929242,True
Test 26,3,-2.0525595424203402e-05,-0.011844604449692042,False
Test 27,1,2.688566783604074e-05,-0.01156724331622172,False
Test 27,2,2.0000075143098,-145.2839160929242,True
Test 27,3,-2.0525595424203402e-05,-0.011844604449692042,False
Test 28,1,9.185479143525299e-06,-0.00809534753173935,False
Test 28,2,1.999993345517943,-226.84103483761396,False
Test 28,3,3.899487850844707e-06,-0.006849710867301795,False
Test 29,1,3.326679781423536e-06,-0.015628260893151946,True
Test 29,2,-3.0000484010507904,283.5278550486572,False
Test 29,3,7.91605641836668e-06,-0.009608246661002795,True
Test 30,1,2.688566783604074e-05,-0.01156724331622172,False
Test 30,2,-3.000028029152105,283.5267890115158,False
Test 30,3,1.720257327519903e-05,-0.007602765130087619,False
Test 31,1,2.688566783604074e-05,-0.01156724331622172,False
Test 31,2,-3.000028029152105,283.5267890115158,False
Test 31,3,1.720257327519903e-05,-0.007602765130087619,False
Test 32,1,9.185479143525299e-06,-0.00809534753173935,False
Test 32,2,-2.9999900327393263,283.5267093542794,False
Test 32,3,-2.2459489038340053e-05,-0.0058448839717666345,False
Test 33,1,-1.233409327028312e-05,-0.008217502717679182,False
Test 33,2,0.5000922253279612,-56.687599348966884,False
Test 34,1,-1.233409327028312e-05,-0.008217502717679182,False
Test 34,2,-0.5000514182975806,56.706517909373595,False
Test 35,1,-1.233409327028312e-05,-0.008217502717679182,False
Test 35,2,-1.0000798915964069,113.4019317332381,False
Test 36,1,-1.233409327028312e-05,-0.008217502717679182,False
Test 36,2,-2.0000021708393234,226.83030158040708,False
Test 37,1,-1.233409327028312e-05,-0.008217502717679182,False
