Name,Study Type,Fault No,Initial pos seq iq (pu),Initial neg seq iq (pu),Initial V (pu),Last iq (pu),Last V (pu),Last Saturation Point Current (pu),Saturated,Grouped By,Delta iq pos seq (pu),Delta iq neg seq (pu),ABS(Delta neq2pos seq iq),Delta V (pu),Voltage threshold,Delta V (from threshold),diq over dv,Last pos seq iq (pu),fromthresh,Included By Voltage Range
Test 1,Faults,1,-7.245551186673877e-05,,1.0600139201389325,,0.0012335016767992914,1.2369956831663333,True,,1.1978024765613577,,,-1.0587804184621332,0.9,0.8987664983232008,1.3327182074499424,1.197730021049491,0.8987664983232008,True
Test 2,Faults,1,-0.3465182962894497,,1.0600135328062605,,0.001257953310125234,1.295425306810968,True,,1.5882617667920176,,,-1.0587555794961354,0.9,0.8987420466898748,1.7672053651453035,1.2417434705025678,0.8987420466898748,True
Test 3,Faults,1,0.34651458093553505,,1.060014745548355,,0.0012110667407428785,1.2107803430873232,True,,0.8314726210990564,,,-1.0588036788076123,0.9,0.8987889332592571,0.9251033143943004,1.1779872020345914,0.8987889332592571,True
Test 4,Faults,1,2.0237519064032204e-05,,1.0599978197530442,,0.0012355188358729992,1.2502166777175205,True,,1.2857377901723583,,,-1.0587623009171712,0.9,0.898764481164127,1.4305614174995025,1.2857580276914224,0.898764481164127,True
Test 5,Faults,1,-0.3458912188342098,,1.0599187232796285,,0.0012602704088434669,1.3108172049545,True,,1.6858588542872586,,,-1.0586584528707852,0.9,0.8987397295911566,1.8758031928266579,1.3399676354530488,0.8987397295911566,True
Test 6,Faults,1,0.3465035831477427,,1.0600073446229359,,0.001212225462162295,1.2099098075904595,True,,0.899877885157996,,,-1.0587951191607736,0.9,0.8987877745378378,1.0012128676546794,1.2463814683057388,0.8987877745378378,True
Test 7,Faults,1,0.0012439633591404362,,1.0598587246609898,,0.0012358647660751412,1.250543547766414,True,,1.315092808094453,,,-1.0586228598949148,0.9,0.8987641352339248,1.4632235049657034,1.3163367714535934,0.8987641352339248,True
Test 8,Faults,1,-0.34559028556642285,,1.0598828023463114,,0.0012594365093088887,1.2947985057884726,True,,1.7082437098951844,,,-1.0586233658370026,0.9,0.8987405634906911,1.900708368230759,1.3626534243287616,0.8987405634906911,True
Test 9,Faults,1,0.34665950943829293,,1.0598260901761407,,0.0012130476552592072,1.2103862935585588,True,,0.9274311535760291,,,-1.0586130425208815,0.9,0.8987869523447408,1.0318698454139346,1.274090663014322,0.8987869523447408,True
Test 10,Faults,1,0.000398994017627844,,1.059954087146706,,0.001235336523623079,1.2498547096214516,True,,1.2924601391374473,,,-1.0587187506230828,0.9,0.898764663476377,1.4380406703332949,1.2928591331550752,0.898764663476377,True
Test 11,Faults,1,-0.3464112270424744,,1.0599808026414195,,0.0012602564157142993,1.3110763501241882,True,,1.6965049969927746,,,-1.0587205462257052,0.9,0.8987397435842858,1.8876487983349906,1.3500937699503002,0.8987397435842858,True
Test 12,Faults,1,0.3465813127314282,,1.0599751758345533,,0.0012123450400857271,1.209952246397542,True,,0.903938324123773,,,-1.0587628307944674,0.9,0.8987876549599143,1.005730685257452,1.2505196368552012,0.8987876549599143,True
Test 13,Faults,1,1.2772008028630909e-05,,1.0600044719669304,,0.0012268661025622261,1.2370682761093936,True,,1.2407977930955987,,,-1.058777605864368,0.9,0.8987731338974378,1.3805461537496184,1.2408105651036274,0.8987731338974378,True
Test 14,Faults,1,-0.34649226162499897,,1.0600723867205737,,0.0012677155489771556,1.2957454029012485,True,,1.6426087604954904,,,-1.0588046711715966,0.9,0.8987322844510228,1.8276952869216816,1.2961164988704914,0.8987322844510228,True
Test 15,Faults,1,0.3459199307706273,,1.0600807049981342,,0.0011896214152213216,1.2108867349146974,True,,0.87825354746944,,,-1.0588910835829128,0.9,0.8988103785847787,0.9771288454104118,1.2241734782400673,0.8988103785847787,True
Test 16,Faults,1,0.0002872575636618349,,1.0599671608438128,,0.0012292671405702957,1.2500183005294327,True,,1.3102311369498116,,,-1.0587378937032426,0.9,0.8987707328594298,1.4578035187920781,1.3105183945134735,0.8987707328594298,True
Test 17,Faults,1,-0.3458272720076211,,1.0599103130049605,,0.0012706340404637932,1.31130525911486,True,,1.7174360926104661,,,-1.0586396789644967,0.9,0.8987293659595362,1.9109602486136976,1.371608820602845,0.8987293659595362,True
Test 18,Faults,1,0.3466184919461482,,1.0598678983271488,,0.00119025548286547,1.2099298745226408,True,,0.923017637082417,,,-1.0586776428442832,0.9,0.8988097445171346,1.026933277829879,1.2696361290285652,0.8988097445171346,True
