DocNumber,Revision,Date,Document
-,1,11/05/2023, Generator Performance Standards v1
-,-,18/05/2023,Clause 5.3.10 Approval
-,-,17/05/2023,Solar Plant - Response to Alteration of Performance Standard
JA10270-6-0,1,5/07/2022,5.3.9 PSCAD DMAT v1
JA10270-5,1,1/07/2022,5.3.9 PSSE DMAT v1
JA10270-1-2,2,17/04/2023,5.3.9 PSSE RUG v2
JA10270-2-2,2,17/04/2023,5.3.9 PSCAD RUG v2
JA10270-4-1,1,1/07/2022,5.3.9 GBESF PSCAD old vs. New model Benchmarking studies v1
JA10270-3-1,1,1/07/2022,5.3.9 PSSE old vs. new model Benchmarking Report v1
