Test Num,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
Test 5 p1,NA,1.324,1.284,1.207
Test 5 p2,NA,1.319,1.296,1.211
Test 6 p1,NA,2.644,1.127,1.042
Test 6 p2,NA,1.156,2.767,1.053
Test 11 p1,NA,1.331,1.329,1.218
Test 11 p2,NA,1.339,1.295,1.223
Test 12 p1,NA,3.404,3.326,1.015
Test 12 p2,NA,3.453,3.485,1.092
