Name,Study Type,Fault No,Initial pos seq iq (pu),Initial neg seq iq (pu),Initial V (pu),Last iq (pu),Last V (pu),Last Saturation Point Current (pu),Saturated,Grouped By,Delta iq pos seq (pu),Delta iq neg seq (pu),ABS(Delta neq2pos seq iq),Delta V (pu),Excluded By Voltage Range,Last pos seq iq (pu),Included By Voltage Range
Test 1,Faults,1,-0.059800249276801304,,1.017078389913137,,0.2525308917038651,1.4018128041143771,True,,1.0319958980666855,,,-0.7645474982092719,,0.9721956487898841,True
Test 2,Faults,1,-0.3055719349508938,,0.9907632253228199,,0.25249421847234405,1.4536122273959424,True,,1.2745995481356218,,,-0.7382690068504758,,0.9690276131847281,True
Test 3,Faults,1,0.21424295010805422,,1.0360761768942621,,0.25302970855388673,1.33831332005403,True,,0.762825760240786,,,-0.7830464683403754,,0.9770687103488402,True
Test 4,Faults,1,-0.1625849255007304,,0.9954702521577183,,0.2525638661830752,1.405043489646915,True,,1.1392769716000413,,,-0.7429063859746432,,0.9766920460993109,True
Test 5,Faults,1,-0.4100085577343449,,0.9694106084371422,,0.25163544170543595,1.448520775878601,True,,1.3872652399114553,,,-0.7177751667317063,,0.9772566821771105,True
Test 6,Faults,1,0.10411046438181062,,1.0122186600557057,,0.252323262736036,1.3377473490213663,True,,0.8710568069528026,,,-0.7598953973196697,,0.9751672713346132,True
Test 7,Faults,1,-0.0518788927923145,,0.9822756262499049,,0.25138578512267407,1.3745168445305394,True,,1.0248913852061436,,,-0.7308898411272309,,0.9730124924138293,True
Test 8,Faults,1,-0.3058503411992819,,0.9734237746389374,,0.2510567647998721,1.447789220510019,True,,1.2811150984711195,,,-0.7223670098390653,,0.9752647572718377,True
Test 9,Faults,1,0.21859937222937023,,1.0180053383425147,,0.2513098808589999,1.3267337990210608,True,,0.7506967133146835,,,-0.7666954574835148,,0.9692960855440537,True
Test 10,Faults,1,-0.1635780055814108,,0.9942520416931472,,0.25124388591287744,1.3959725592877579,True,,1.1384220394895355,,,-0.7430081557802697,,0.9748440339081246,True
Test 11,Faults,1,-0.4109591742996029,,0.9681013248165257,,0.25094415110461793,1.4427481499656774,True,,1.3829606747498826,,,-0.7171571737119078,,0.9720015004502798,True
Test 12,Faults,1,0.10417573595210776,,1.01115628351089,,0.2519475283702352,1.329595553098394,True,,0.8648085387114255,,,-0.7592087551406548,,0.9689842746635332,True
Test 13,Faults,1,-0.05922745505694787,,1.0170321367291437,,0.25326874951003847,1.4095813392710392,True,,1.0499622114419374,,,-0.7637633872191052,,0.9907347563849894,True
Test 14,Faults,1,-0.30567001280378775,,0.9905923594630343,,0.25262326516804423,1.4543006373055634,True,,1.2889689701354146,,,-0.73796909429499,,0.9832989573316268,True
Test 15,Faults,1,0.2142533858386626,,1.0361995218308127,,0.25305719777068286,1.3396317663902502,True,,0.7705006546214411,,,-0.7831423240601298,,0.9847540404601037,True
Test 16,Faults,1,-0.16336214937801322,,0.9952311028997993,,0.2516793990788943,1.3977410223196989,True,,1.1327020881525396,,,-0.743551703820905,,0.9693399387745264,True
Test 17,Faults,1,-0.4093012957156536,,0.969805564914335,,0.25208659022062585,1.4513749408613559,True,,1.3826159224755799,,,-0.7177189746937092,,0.9733146267599262,True
Test 18,Faults,1,0.10375190503112959,,1.0118038146163737,,0.25262439155242045,1.3330426316692139,True,,0.8770700653717801,,,-0.7591794230639533,,0.9808219704029097,True
Test 19,Faults,1,-0.05183303219565822,,0.9821713841984747,,0.25142654966212635,1.3739345485186736,True,,1.022537774091327,,,-0.7307448345363483,,0.9707047418956688,True
Test 20,Faults,1,-0.31016520054641167,,0.9721854804723902,,0.250790905045984,1.4462804557691349,True,,1.2853463690315268,,,-0.7213945754264062,,0.9751811684851152,True
Test 21,Faults,1,0.22113493307390633,,1.0170706536812055,,0.2508394402707683,1.326235385806503,True,,0.7522907679481795,,,-0.7662312134104372,,0.9734257010220858,True
