,Name,Fault Type,In-Fault Voltage Phase A (pu),In-Fault Voltage Phase B (pu),In-Fault Voltage Phase C (pu),In-Fault Max Phase Voltage (pu),In-Fault Min Phase Voltage (pu),Post-Fault Voltage Phase A (pu),Post-Fault Voltage Phase B (pu),Post-Fault Voltage Phase C (pu),Post-Fault Max Phase Voltage (pu),Post-Fault Min Phase Voltage (pu),Fault Level
0,CSR_5255_CSRBalancedFaults_013_FL3185_X2R11.24_P1_Q0_V1.06,3PhG,0.0012269235249414295,0.0012268530018227472,0.0012268134881568335,9999,9999,1.0698731715414167,1.076366236839695,1.1019804502263222,1.1019804502263222,1.0698731715414167,3185.0
1,CSR_5255_CSRBalancedFaults_014_FL3185_X2R11.24_P1_Q-1_V1.06,3PhG,0.0012677765196550369,0.0012677001719585401,0.0012676626532561461,9999,9999,1.0704080305276402,1.0718556027537198,1.1352676407432243,1.1352676407432243,1.0704080305276402,3185.0
2,CSR_5255_CSRBalancedFaults_015_FL3185_X2R11.24_P1_Q1_V1.06,3PhG,0.0011896768271750448,0.0011896143152274428,0.0011895648459342228,9999,9999,1.0677776027020554,1.0701852624821178,1.0791141815366216,1.0791141815366216,1.0677776027020554,3185.0
3,CSR_5255_CSRBalancedFaults_016_FL3185_X2R11.24_P0.05_Q0_V1.06,3PhG,0.0012293049188925455,0.0012292784821994972,0.001229206681443166,9999,9999,1.0605059380697557,1.0761561177242778,1.065423667582779,1.0761561177242778,1.0605059380697557,3185.0
4,CSR_5255_CSRBalancedFaults_017_FL3185_X2R11.24_P0.05_Q-1_V1.06,3PhG,0.001270675342739247,0.0012706422239674965,0.0012705737279735665,9999,9999,1.067142909983702,1.0671434331969043,1.10605169638621,1.10605169638621,1.067142909983702,3185.0
5,CSR_5255_CSRBalancedFaults_018_FL3185_X2R11.24_P0.05_Q1_V1.06,3PhG,0.001190291039784881,0.0011902705444206691,0.0011901926635332102,9999,9999,1.0602261424733237,1.0628464404967262,1.0603124565107813,1.0628464404967262,1.0602261424733237,3185.0
6,CSR_5255_CSRBalancedFaults_019_FL3185_X2R11.24_P-1_Q0_V1.06,3PhG,0.0012308834300227196,0.0012309067717067323,0.0012308041639066448,9999,9999,1.0670755414023383,1.0672896933800138,1.0671363792362911,1.0672896933800138,1.0670755414023383,3185.0
7,CSR_5255_CSRBalancedFaults_020_FL3185_X2R11.24_P-1_Q-1_V1.06,3PhG,0.0012696567429494857,0.0012696759179776419,0.0012695766141158594,9999,9999,1.0713192514717136,1.0844865496410114,1.0715948618088889,1.0844865496410114,1.0713192514717136,3185.0
8,CSR_5255_CSRBalancedFaults_021_FL3185_X2R11.24_P-1_Q1_V1.06,3PhG,0.0011926048927596014,0.0011926328386381994,0.0011925277316832922,9999,9999,1.0678013100588715,1.0669710390678397,1.0676249544100067,1.0678013100588715,1.0669710390678397,3185.0
9,CSR_5255_CSRBalancedFaults_022_FL3185_X2R11.24_P-0.05_Q0_V1.06,3PhG,0.0012291455411808313,0.001229125544397222,0.0012290491601254143,9999,9999,1.0605054507485765,1.0757325125144195,1.060539978741608,1.0757325125144195,1.0605054507485765,3185.0
10,CSR_5255_CSRBalancedFaults_023_FL3185_X2R11.24_P-0.05_Q-1_V1.06,3PhG,0.0012705250315900867,0.0012704991368820142,0.0012704245180155456,9999,9999,1.0671963721155056,1.0675368547336919,1.0956863942545125,1.0956863942545125,1.0671963721155056,3185.0
11,CSR_5255_CSRBalancedFaults_024_FL3185_X2R11.24_P-0.05_Q1_V1.06,3PhG,0.0011904408608856955,0.001190425533600035,0.0011903452015943178,9999,9999,1.060233777948547,1.0623233741189129,1.0603196002958362,1.0623233741189129,1.060233777948547,3185.0
12,CSR_5255_CSRBalancedFaults_037_FL3185_X2R11.24_P1_Q0_V1.06,3PhG,0.23604629750047068,0.23603781546723906,0.23604623473235176,9999,9999,1.0701354893367583,1.0763928278800952,1.0851184714686883,1.0851184714686883,1.0701354893367583,3185.0
13,CSR_5255_CSRBalancedFaults_038_FL3185_X2R11.24_P1_Q-1_V1.06,3PhG,0.24395008902545026,0.24394089443404823,0.2439505860344619,9999,9999,1.0738322769768305,1.0750265293837686,1.102941574896522,1.102941574896522,1.0738322769768305,3185.0
14,CSR_5255_CSRBalancedFaults_039_FL3185_X2R11.24_P1_Q1_V1.06,3PhG,0.22885137650512494,0.22884316109704,0.22885130861905403,9999,9999,1.0696872009108291,1.069939199799462,1.069002830863371,1.069939199799462,1.069002830863371,3185.0
15,CSR_5255_CSRBalancedFaults_040_FL3185_X2R11.24_P0.05_Q0_V1.06,3PhG,0.23707215958296343,0.23707028860656468,0.23708089730395895,9999,9999,1.064177258894795,1.071282491369718,1.0814503794968917,1.0814503794968917,1.064177258894795,3185.0
16,CSR_5255_CSRBalancedFaults_041_FL3185_X2R11.24_P0.05_Q-1_V1.06,3PhG,0.24493969526463458,0.24493792272603032,0.24494907124864934,9999,9999,1.0671820616160126,1.0689981001636273,1.0967652657151008,1.0967652657151008,1.0671820616160126,3185.0
17,CSR_5255_CSRBalancedFaults_042_FL3185_X2R11.24_P0.05_Q1_V1.06,3PhG,0.22955270319517246,0.22955179269135514,0.22956152267533597,9999,9999,1.0599723838948478,1.065670347011877,1.0639386832834732,1.065670347011877,1.0599723838948478,3185.0
18,CSR_5255_CSRBalancedFaults_043_FL3185_X2R11.24_P-1_Q0_V1.06,3PhG,0.23919707945594879,0.239205704410212,0.23922002129850625,9999,9999,1.0773324062540623,1.084641896054783,1.087111725141243,1.087111725141243,1.0773324062540623,3185.0
19,CSR_5255_CSRBalancedFaults_044_FL3185_X2R11.24_P-1_Q-1_V1.06,3PhG,0.24669877734211548,0.24670813524246923,0.24672381484466505,9999,9999,1.078411032502657,1.083218380698601,1.1049003497696275,1.1049003497696275,1.078411032502657,3185.0
20,CSR_5255_CSRBalancedFaults_045_FL3185_X2R11.24_P-1_Q1_V1.06,3PhG,0.2317526492919026,0.23176176063827364,0.2317753866346775,9999,9999,1.0726371792486125,1.076031946178524,1.0744020901125355,1.076031946178524,1.0726371792486125,3185.0
21,CSR_5255_CSRBalancedFaults_046_FL3185_X2R11.24_P-0.05_Q0_V1.06,3PhG,0.2371986166180628,0.2371983495494117,0.23720906087410867,9999,9999,1.0646558764333185,1.071795338635371,1.081485954274507,1.081485954274507,1.0646558764333185,3185.0
22,CSR_5255_CSRBalancedFaults_047_FL3185_X2R11.24_P-0.05_Q-1_V1.06,3PhG,0.24509349464887747,0.2450924300049986,0.24510382820432447,9999,9999,1.0674437680868705,1.0692842092135417,1.096842106677152,1.096842106677152,1.0674437680868705,3185.0
23,CSR_5255_CSRBalancedFaults_048_FL3185_X2R11.24_P-0.05_Q1_V1.06,3PhG,0.22970618521360964,0.22970606207415736,0.22971585263105315,9999,9999,1.0599370207044865,1.0660148937769256,1.0639455711372292,1.0660148937769256,1.0599370207044865,3185.0
24,CSR_5255_CSRBalancedFaults_061_FL3185_X2R11.24_P1_Q0_V1.06,3PhG,0.4694378741252521,0.46943149697561526,0.4694592731595561,9999,9999,1.0770245831563647,1.08067240476839,1.0915895689442683,1.0915895689442683,1.0770245831563647,3185.0
25,CSR_5255_CSRBalancedFaults_062_FL3185_X2R11.24_P1_Q-1_V1.06,3PhG,0.4851803601311092,0.4851688859109989,0.48519436484389133,9999,9999,1.0819009226235161,1.0747190489134086,1.0967118027126153,1.0967118027126153,1.0747190489134086,3185.0
26,CSR_5255_CSRBalancedFaults_063_FL3185_X2R11.24_P1_Q1_V1.06,3PhG,0.45507412695053784,0.45507112859451887,0.4550998254446211,9999,9999,1.068865785532592,1.0724466922717948,1.0773290457261586,1.0773290457261586,1.068865785532592,3185.0
