,Name,Fault Type,In-Fault Voltage Phase A (pu),In-Fault Voltage Phase B (pu),In-Fault Voltage Phase C (pu),In-Fault Max Phase Voltage (pu),In-Fault Min Phase Voltage (pu),Post-Fault Voltage Phase A (pu),Post-Fault Voltage Phase B (pu),Post-Fault Voltage Phase C (pu),Post-Fault Max Phase Voltage (pu),Post-Fault Min Phase Voltage (pu),Fault Level
25,CSR_5255_CSRBalancedFaults_050_FL5591_X2R12.04_P1_Q-1_V1.06,3PhG,0.4574972257645993,0.45749263303854154,0.4575083543335219,9999,9999,1.0822183042624176,1.08425249188626,1.084903300924665,1.084903300924665,1.0822183042624176,5590.999999999999
26,CSR_5255_CSRBalancedFaults_051_FL5591_X2R12.04_P1_Q1_V1.06,3PhG,0.44036935053647674,0.44036918461709273,0.4403864498591219,9999,9999,1.0654584924139827,1.072095396610166,1.0770077263669744,1.0770077263669744,1.0654584924139827,5590.999999999999
27,CSR_5255_CSRBalancedFaults_052_FL5591_X2R12.04_P0.05_Q0_V1.06,3PhG,0.44999132183047746,0.44999252791755223,0.4500094541877241,9999,9999,1.0727970373636104,1.0792248152856811,1.080000628796793,1.080000628796793,1.0727970373636104,5590.999999999999
28,CSR_5255_CSRBalancedFaults_053_FL5591_X2R12.04_P0.05_Q-1_V1.06,3PhG,0.4588933880591496,0.4588933462203235,0.45890981463243014,9999,9999,1.0775706165943224,1.07940038692831,1.0791544258772423,1.07940038692831,1.0775706165943224,5590.999999999999
29,CSR_5255_CSRBalancedFaults_054_FL5591_X2R12.04_P0.05_Q1_V1.06,3PhG,0.44149333048669415,0.44149483103537246,0.44151201063400963,9999,9999,1.0635867892043807,1.0720332916228528,1.0749901877002201,1.0749901877002201,1.0635867892043807,5590.999999999999
30,CSR_5255_CSRBalancedFaults_055_FL5591_X2R12.04_P-1_Q0_V1.06,3PhG,0.4520250833669962,0.45203033346404825,0.4520487568938317,9999,9999,1.0785493662994017,1.0844922807012607,1.0856644856983113,1.0856644856983113,1.0785493662994017,5590.999999999999
31,CSR_5255_CSRBalancedFaults_056_FL5591_X2R12.04_P-1_Q-1_V1.06,3PhG,0.460584476923221,0.46059058686098386,0.4606088543156468,9999,9999,1.0816679407806915,1.0863147734470866,1.0850007634087617,1.0863147734470866,1.0816679407806915,5590.999999999999
32,CSR_5255_CSRBalancedFaults_057_FL5591_X2R12.04_P-1_Q1_V1.06,3PhG,0.44359601848359753,0.44360076281364014,0.44361920880199895,9999,9999,1.0685148256957044,1.079286668417683,1.0800871667923384,1.0800871667923384,1.0685148256957044,5590.999999999999
33,CSR_5255_CSRBalancedFaults_058_FL5591_X2R12.04_P-0.05_Q0_V1.06,3PhG,0.45012894826830896,0.45013029646095454,0.4501471606110539,9999,9999,1.0727421379645665,1.079390592467425,1.0798654038444258,1.0798654038444258,1.0727421379645665,5590.999999999999
34,CSR_5255_CSRBalancedFaults_059_FL5591_X2R12.04_P-0.05_Q-1_V1.06,3PhG,0.4590847540113664,0.4590850507278555,0.4591019560012207,9999,9999,1.0775431950262604,1.0794575049194228,1.0792796253259198,1.0794575049194228,1.0775431950262604,5590.999999999999
35,CSR_5255_CSRBalancedFaults_060_FL5591_X2R12.04_P-0.05_Q1_V1.06,3PhG,0.44164355833534075,0.4416451454130355,0.4416620267112612,9999,9999,1.0640100324827948,1.0724069008171195,1.0753782388345785,1.0753782388345785,1.0640100324827948,5590.999999999999
36,CSR_5255_CSRBalancedFaults_073_FL5591_X2R12.04_P1_Q0_V1.06,3PhG,0.7688224173120394,0.7687585003134753,0.7688047723967609,9999,9999,1.0620048428945177,1.0636047995587121,1.0648288748770078,1.0648288748770078,1.0620048428945177,5590.999999999999
37,CSR_5255_CSRBalancedFaults_074_FL5591_X2R12.04_P1_Q-1_V1.06,3PhG,0.7712118445692385,0.771225297545014,0.7712547410282523,9999,9999,1.060661796233602,1.060654692860977,1.060953795078052,1.060953795078052,1.060654692860977,5590.999999999999
38,CSR_5255_CSRBalancedFaults_075_FL5591_X2R12.04_P1_Q1_V1.06,3PhG,0.7717026053665851,0.771741971278298,0.7717803403596585,9999,9999,1.0692335389806906,1.0697922477396522,1.070125787300368,1.070125787300368,1.0692335389806906,5590.999999999999
39,CSR_5255_CSRBalancedFaults_076_FL5591_X2R12.04_P0.05_Q0_V1.06,3PhG,0.7714154299919876,0.7714203943579994,0.771451215252491,9999,9999,1.0634215294084501,1.063296450786609,1.0658237339809815,1.0658237339809815,1.063296450786609,5590.999999999999
40,CSR_5255_CSRBalancedFaults_077_FL5591_X2R12.04_P0.05_Q-1_V1.06,3PhG,0.7741286264944803,0.7741336052413821,0.7741646759800097,9999,9999,1.0626756052704545,1.0625039561849359,1.064247217127211,1.064247217127211,1.0625039561849359,5590.999999999999
41,CSR_5255_CSRBalancedFaults_078_FL5591_X2R12.04_P0.05_Q1_V1.06,3PhG,0.7694740959334848,0.769477473015411,0.7695086304520568,9999,9999,1.0653498286275647,1.0653394532263258,1.0677363460802685,1.0677363460802685,1.0653394532263258,5590.999999999999
42,CSR_5255_CSRBalancedFaults_079_FL5591_X2R12.04_P-1_Q0_V1.06,3PhG,0.769606056842269,0.7696154950086287,0.7696405862660753,9999,9999,1.0621842658413274,1.0638792319661927,1.0655995935839047,1.0655995935839047,1.0621842658413274,5590.999999999999
43,CSR_5255_CSRBalancedFaults_080_FL5591_X2R12.04_P-1_Q-1_V1.06,3PhG,0.7689797638057438,0.768983549739972,0.7689988910686079,9999,9999,1.0604168303628192,1.06042921667692,1.0604770442718494,1.0604770442718494,1.0604168303628192,5590.999999999999
44,CSR_5255_CSRBalancedFaults_081_FL5591_X2R12.04_P-1_Q1_V1.06,3PhG,0.7729931001051485,0.772995700921188,0.7730214278271993,9999,9999,1.0674053893087903,1.0682010023808357,1.0718881866909649,1.0718881866909649,1.0674053893087903,5590.999999999999
45,CSR_5255_CSRBalancedFaults_082_FL5591_X2R12.04_P-0.05_Q0_V1.06,3PhG,0.7712735796138681,0.771277931694027,0.7713082457996148,9999,9999,1.063291711496474,1.0629820759517394,1.066165522442542,1.066165522442542,1.0629820759517394,5590.999999999999
46,CSR_5255_CSRBalancedFaults_083_FL5591_X2R12.04_P-0.05_Q-1_V1.06,3PhG,0.7740756677652548,0.7740802164471422,0.774110256214511,9999,9999,1.0627768959562853,1.0620992053985936,1.0647273472158414,1.0647273472158414,1.0620992053985936,5590.999999999999
47,CSR_5255_CSRBalancedFaults_084_FL5591_X2R12.04_P-0.05_Q1_V1.06,3PhG,0.7695139487044609,0.7695182069028815,0.7695487799082755,9999,9999,1.0654920129624168,1.065528037422373,1.0681469104899664,1.0681469104899664,1.0654920129624168,5590.999999999999
48,CSR_5255_CSRUnbalancedFaults_001_FL5591_X2R12.04_P1_Q0_V1.06,2PhG,0.0012970095686973037,0.0013060161251609197,0.966180336528258,0.966180336528258,0.966180336528258,1.0984342712916906,1.0893782832157926,1.0787818718493443,1.0984342712916906,1.0787818718493443,5590.999999999999
49,CSR_5255_CSRUnbalancedFaults_002_FL5591_X2R12.04_P1_Q-1_V1.06,2PhG,0.0013276265696108651,0.0013371620624451704,0.9687850976272016,0.9687850976272016,0.9687850976272016,1.1112076875046712,1.0925690061484041,1.072962374003056,1.1112076875046712,1.072962374003056,5590.999999999999
50,CSR_5255_CSRUnbalancedFaults_003_FL5591_X2R12.04_P1_Q1_V1.06,2PhG,0.0012716531640132643,0.0012804414287216092,0.9576411279643438,0.9576411279643438,0.9576411279643438,1.0859892719234188,1.07933231898893,1.073436810627793,1.0859892719234188,1.073436810627793,5590.999999999999
