Name,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec)
CSR_VrefSteps_001_FL2039.54_X2R5.62588_P1_Q-0.43_V1.077,3.099822998,2.299833298,2.299833298
CSR_VrefSteps_002_FL2039.54_X2R5.62588_P1_Q-0.43_V1.077,2.999782562,1.499891281,1.299905777
CSR_VrefSteps_003_FL2039.54_X2R5.62588_P1_Q-0.43_V1.077,2.599811554,1.399898529,1.499891281
CSR_VrefSteps_003_FL2039.54_X2R5.62588_P1_Q-0.43_V1.077,2.801132202,1.600646973,1.400566101
CSR_VrefSteps_004_FL2039.54_X2R5.62588_P1_Q-0.43_V1.077,2.89978981,1.499891281,1.299905777
CSR_VrefSteps_004_FL2039.54_X2R5.62588_P1_Q-0.43_V1.077,3.301334381,2.300930023,2.300930023
