Test Number,P_POC (MW),Q_POC (MVAr),dP (MW) ,dQ (MVAr) ,dP (MW) ,dQ (MVAr) ,dP (MW) ,dQ (MVAr) 
1,285,112.575,2.497,20.402,2.47,19.635,0.027,0.767
2,285,-112.575,2.227,17.944,2.229,17.616,-0.002,0.329
3,285,0,2.138,16.996,2.123,16.36,0.014,0.636
4,0,112.575,0.89,4.293,0.911,3.911,-0.021,0.382
5,0,-112.575,0.872,4.255,0.889,3.947,-0.016,0.308
6,0,0,0.667,2.044,0.667,1.677,0,0.367
7,-285,112.575,2.473,20.262,2.472,19.529,0.001,0.733
8,-285,-112.575,2.203,17.804,2.231,17.51,-0.028,0.293
9,-285,0,2.095,16.555,2.117,16.247,-0.022,0.308
