,Deliverable,Category,Clause,Test No,Subtest No,Readable_Name,File_Name,PSSE,PSCAD,Grid_SCR,Grid_FL_MVA_sig,Grid_X2R_sig,Vpoc_pu_sig,Qpoc_pu,Qpoc_MVAr_init,Vref_pu_sig,Ppoc_pu,Ppoc_MW_sig,Fault_Type,Fault_Type_sig,Fault_Time_sig,Fault_Duration_sig,Fault_X2R_sig,Ures_sig,Zf2Zs_sig,Rf_Offset_sig,Xf_Offset_sig,Fault_Timing_Signal_sig,Post_Init_Duration_s,PSSE Commands,Vslack_pu_sig,U_Ov,Plotter Table,Appendix_Name_PSCAD,Appendix Letter,Report,Xlsx_Name,Sheet_Name,Fslack_Hz_sig,Steps_per_write,plot_step_o,Reference,Test Details,Appendix_Name_PSSE,Appendix _Name_PSCAD,Is_Infinite
144,CSR,CSR F Withstand,5253,1,,,CSR_5253_CSRFWithstand_001_FL-1_X2R-1_P1_Q1_V1.06,True,True,3.68,920.0,5.0,1.06,1,112.575,1.1,1.0,285.0,,,,,,,,,,,720,,,,"[['Deliverable','CSR'],['Test Type','CSR F Withstand'],['Test Details','OFRT Envelope'],['Test no.','1'],['Subtest no.',''],['SCR','∞'],['X2R','-1']]",,A,,HY_Spec_CSR_300,5253_F,"50, FROM 5s TO 7s ↗ 52, FROM 605s TO 606s ↘ 50.5, FROM 650s TO 650.5s ↘ 50.5, FROM 705s TO 705.5s ↘ 50.0",100.0,100000.00000000001,,OFRT Envelope,Appendix A CSR F Withstand,Appendix A CSR F Withstand,True
300,CSR,CSR F Withstand,5253,1,,,CSR_5253_CSRFWithstand_001_FL-1_X2R-1_P1_Q1_V1.06,True,True,3.68,920.0,5.0,1.06,1,112.575,1.1,1.0,285.0,,,,,,,,,,,720,,,,"[['Deliverable','CSR'],['Test Type','CSR F Withstand'],['Test Details','OFRT Envelope'],['Test no.','1'],['Subtest no.',''],['SCR','∞'],['X2R','-1']]",,A,,HY_Spec_CSR_300,5253_F,"50, FROM 5s TO 7s ↗ 52, FROM 605s TO 606s ↘ 50.5, FROM 650s TO 650.5s ↘ 50.5, FROM 705s TO 705.5s ↘ 50.0",100.0,100000.00000000001,,OFRT Envelope,Appendix A CSR F Withstand,Appendix A CSR F Withstand,True
